C1,C2,Length_Mbp
MetaBAT__MetaBAT.1,MyCC__Cluster.14,2.11
MyCC__Cluster.14,CONCOCT__Concoct_11,2.11
MetaBAT__MetaBAT.1,MyCC__Cluster.18,2.36
MyCC__Cluster.18,CONCOCT__Concoct_11,2.36
MetaBAT__MetaBAT.1,MyCC__Cluster.24,2.7
MyCC__Cluster.24,CONCOCT__Concoct_11,2.7
MetaBAT__MetaBAT.10,MyCC__Cluster.7,1.64
MyCC__Cluster.7,CONCOCT__Concoct_5,1.64
MetaBAT__MetaBAT.11,MyCC__Cluster.8,1.63
MyCC__Cluster.8,CONCOCT__Concoct_10,1.63
MetaBAT__MetaBAT.12,MyCC__Cluster.20,1.5
MyCC__Cluster.20,CONCOCT__Concoct_4,1.5
MetaBAT__MetaBAT.13,MyCC__Cluster.12,1.41
MyCC__Cluster.12,CONCOCT__Concoct_12,1.41
MetaBAT__MetaBAT.14,MyCC__Cluster.10,1.3
MyCC__Cluster.10,CONCOCT__Concoct_4,1.3
MetaBAT__MetaBAT.15,MyCC__Cluster.11,1.2
MyCC__Cluster.11,CONCOCT__Concoct_2,1.2
MetaBAT__MetaBAT.16,MyCC__Cluster.22,1.16
MyCC__Cluster.22,CONCOCT__Concoct_3,1.16
MetaBAT__MetaBAT.17,MyCC__Cluster.6,0.88
MyCC__Cluster.6,CONCOCT__Concoct_4,0.88
MetaBAT__MetaBAT.18,MyCC__Cluster.12,0.83
MyCC__Cluster.12,CONCOCT__Concoct_12,0.83
MetaBAT__MetaBAT.19,MyCC__Cluster.3,0.72
MyCC__Cluster.3,CONCOCT__Concoct_8,0.72
MetaBAT__MetaBAT.2,MyCC__Cluster.23,4.91
MyCC__Cluster.23,CONCOCT__Concoct_5,4.91
MetaBAT__MetaBAT.20,MyCC__Cluster.2,0.62
MyCC__Cluster.2,CONCOCT__Concoct_4,0.62
MetaBAT__MetaBAT.21,MyCC__Cluster.13,0.68
MyCC__Cluster.13,CONCOCT__Concoct_2,0.68
MetaBAT__MetaBAT.22,MyCC__Cluster.15,0.6
MyCC__Cluster.15,CONCOCT__Concoct_0,0.6
MetaBAT__MetaBAT.23,MyCC__Cluster.2,0.53
MyCC__Cluster.2,CONCOCT__Concoct_4,0.53
MetaBAT__MetaBAT.3,MyCC__Cluster.21,4.56
MyCC__Cluster.21,CONCOCT__Concoct_9,4.56
MetaBAT__MetaBAT.4,MyCC__Cluster.15,3.48
MyCC__Cluster.15,CONCOCT__Concoct_2,3.48
MetaBAT__MetaBAT.5,MyCC__Cluster.1,0.71
MyCC__Cluster.1,CONCOCT__Concoct_2,0.71
MetaBAT__MetaBAT.5,MyCC__Cluster.9,2.74
MyCC__Cluster.9,CONCOCT__Concoct_2,2.74
MetaBAT__MetaBAT.6,MyCC__Cluster.4,3.03
MyCC__Cluster.4,CONCOCT__Concoct_7,3.03
MetaBAT__MetaBAT.7,MyCC__Cluster.19,2.46
MyCC__Cluster.19,CONCOCT__Concoct_0,2.46
MetaBAT__MetaBAT.8,MyCC__Cluster.16,2.21
MyCC__Cluster.16,CONCOCT__Concoct_6,2.21
MetaBAT__MetaBAT.9,MyCC__Cluster.17,2.19
MyCC__Cluster.17,CONCOCT__Concoct_4,2.19
